variation,accuracy,best_params,best_score,roc_auc
1.00,0.8292682926829268,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8292682926829268,0.7571839080459769
0.00,0.8170731707317073,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7560975609756098,0.7960312296681848
0.00,0.8292682926829268,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8170731707317073,0.6956521739130435
0.00,0.7439024390243902,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8536585365853658,0.7298642533936651
0.00,0.6707317073170732,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.7317073170731707,0.5993589743589745
0.00,0.8780487804878049,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8292682926829268,0.8087431693989071
0.25,0.7560975609756098,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7804878048780488,0.6673400673400673
0.25,0.8048780487804879,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8048780487804879,0.5973266499582288
0.25,0.7804878048780488,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.7926829268292683,0.6744505494505495
0.25,0.7682926829268293,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7439024390243902,0.6346153846153846
0.25,0.7560975609756098,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.7804878048780488,0.5598484848484848
0.50,0.8658536585365854,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7804878048780488,0.7741341193809875
0.50,0.7804878048780488,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7804878048780488,0.5714285714285714
0.50,0.7195121951219512,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.7560975609756098,0.5624561403508772
0.50,0.7560975609756098,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7682926829268293,0.6565934065934066
0.50,0.7195121951219512,"{'svm__C': 0.5, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 100}",0.7682926829268293,0.5736842105263158
0.75,0.6951219512195121,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.7682926829268293,0.5707417582417582
0.75,0.8048780487804879,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8170731707317073,0.7249122807017544
0.75,0.8536585365853658,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8170731707317073,0.7988505747126436
0.75,0.8170731707317073,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8292682926829268,0.6236424394319131
0.75,0.6829268292682927,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.7560975609756098,0.5
1.00,0.8414634146341463,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7682926829268293,0.7512280701754386
1.00,0.4634146341463415,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 50}",0.7682926829268293,0.38864942528735635
1.00,0.7804878048780488,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8170731707317073,0.7471264367816093
1.00,0.7804878048780488,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 1000}",0.7804878048780488,0.6617538688282977
1.00,0.7682926829268293,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7439024390243902,0.6774425287356323
